ObjectID,X,Y,ID,pHH20,pHKCl,Гумус %,P мг/кг,K мг/кг,Mn мг/кг,Co мг/кг,Cu мг/кг,Zn мг/кг,Mo мг/кг,B мг/кг,Ca ммоль-экв/100г,Mg ммоль-экв/100г,Al ммоль-экв/100г,N_NH4  мг/кг  ,N_NO3  мг/кг  ,soil_name,texture,parentrock,relief,code,area,Z,NDVI 13062019
1,38.880211,53.629051,1,5.8,5,6.5,81.1,178.3,24.1,0.04,0.06,0.21,0,2.2,13.7,2.7,0,8.9,40.8,овражно-балочный комплекс,средне-тяжело-суглинистый,"лессовидные суглинки, делювиальные отложения",склоны и днища балок и оврагов,23,1474204,1.70666821386899,0.727740586
2,38.87638,53.627953,2,5.9,5.1,6.2,262.9,328.8,29,0.04,0.07,0.18,0,2.6,14.3,2.6,0,12.1,43.4,овражно-балочный комплекс,средне-тяжело-суглинистый,"лессовидные суглинки, делювиальные отложения",склоны и днища балок и оврагов,23,1474204,1.81137573661958,0.658671081
3,38.871806,53.628301,3,5.7,4.9,7.4,202.3,255.5,27.9,0.04,0.1,0.25,0,2.1,12.5,2.5,0,9,24.3,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,199339,1.89133701176396,0.768856466
4,38.869034,53.627647,4,5.9,5,7.2,66.7,136.8,15.1,0.03,0.1,0.37,0,2.3,14.4,2.7,0,9.1,21.8,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,254939,1.91913471144598,0.722283185
5,38.869721,53.629889,5,5.7,5,6.7,68,210.7,22.9,0.04,0.06,0.22,0,2,12.5,2.3,0,8.2,24.1,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,254939,1.60945761127294,0.70066452
6,38.867472,53.630386,6,5.8,5,7.4,61.1,134.1,13.1,0.02,0.06,0.15,0,2,13.8,2.3,0,12.5,26.9,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,254939,1.39859440712485,0.693211854
7,38.864552,53.632659,7,6.4,5.2,8.1,114,331.3,8.2,0.02,0.08,0.2,0,2.2,12.7,2.2,0,3.4,7.3,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,6067,1.4161105325755,0.799672246
8,38.863867,53.626297,8,6.3,5.5,7.8,84.7,315,25.2,0.04,0.07,0.64,0,1.7,12.1,3.3,0,12.6,0,овражно-балочный комплекс,средне-тяжело-суглинистый,"лессовидные суглинки, делювиальные отложения",склоны и днища балок и оврагов,23,1474204,2.06096744183073,0.705134749
9,38.849841,53.624469,9,6.1,5.1,6.7,101.8,177.4,17.6,0.03,0.14,0.43,0,2.2,13.3,2.4,0,15.3,38.9,чернозем выщелоченный среднемощный среднесмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,покатые склоны,14,39499,2.05084318440941,0.717805803
10,38.833357,53.623853,10,6.5,5.5,4.8,54.9,125.6,11.6,0.02,1.14,0.14,0.02,1.8,14.6,2,0,9.6,23.8,чернозем выщелоченный среднемощный среднесмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,покатые склоны,14,88888,2.14465631418187,0.699386477
11,38.828197,53.619004,11,8,7.2,5.8,32,68,9.8,0.02,0.68,0.13,0.01,1.9,17.3,1,0,3.5,44.4,дерново-карбонатная малокаменистая,среднесуглинистый,элювий известняков,пологие и покатые склоны,1,31986,1.74748319299255,0.615990281
12,38.82402,53.614219,12,6.8,5.7,6.2,22.8,130.6,6.2,0.02,0.98,0.22,0.02,1.2,15.7,2.6,0,4.2,2.5,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,1742842,2.00762432338828,0.614422798
13,38.814678,53.61102,13,7.6,6.8,8.5,281.1,625,13.6,0.03,0.93,0.4,0.03,2,10.4,1.6,0,9.2,15.2,чернозем оподзоленный мощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,выположенные шлейфы,6,149136,2.34987193438409,0.678743362
14,38.759141,53.586409,14,6.7,5.7,8.6,75.6,144.4,7.8,0.02,0.89,0.21,0.01,2.1,13.1,2.3,0,6,0,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,2354982,2.1256269861745,0.702359319
15,38.748861,53.586041,15,6.5,5.4,7.4,50.1,140,3.2,0.01,1.09,0.18,0,1.4,12,2.3,0,2.3,0,чернозем оподзоленный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,4,109349,1.70143103323522,0.767308712
16,38.750799,53.588216,16,6.6,5.4,8.1,105.3,107.5,7.4,0.02,0.87,0.69,0.02,1.9,13.3,2.3,0,5.6,0,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,2354982,2.52341602563941,0.61076057
17,38.743803,53.589488,17,6.5,5.3,6.4,79.4,151,3.6,0.02,1.12,0.18,0.01,2,12.1,2.1,0,2.7,0,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,20247,1.82447513199211,0.75920397
18,38.720634,53.591491,18,6.5,5.3,7,61.2,96.7,3.7,0.02,0.9,0.15,0,1.8,12.2,2.2,0,2.1,0,чернозем оподзоленный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,"водораздельные участки слабопологие  и пологие склоны, террасы",3,1845872,1.69993279175461,0.615595102
19,38.735718,53.59305,19,6.9,5.9,8.3,165.9,117.1,6.4,0.01,0.76,0.17,0,2.7,15.3,2,0,4.4,8.9,чернозем оподзоленный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,"водораздельные участки слабопологие  и пологие склоны, террасы",3,1845872,2.02187644646938,0.779053092
20,38.740928,53.592237,20,5.6,4.7,7.1,66.1,212.7,2.6,0.01,0.1,0.32,0,1.4,7.8,1.4,0,2.4,11.4,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,86168,1.04090796890888,0.72515738
21,38.736262,53.59892,21,8.3,7.4,5.4,938.2,30.7,15.7,0.02,0.14,0.25,0,1.4,19.9,1.3,0,3.4,5.5,чернозем оподзоленный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,"водораздельные участки слабопологие  и пологие склоны, террасы",3,1845872,1.64619783753726,0.708818197
22,38.725047,53.600508,22,7.8,6.8,5.4,61.8,91.6,2.4,0,0.09,0.2,0,2,16,1.8,0,2.3,12.7,чернозем оподзоленный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,"водораздельные участки слабопологие  и пологие склоны, террасы",3,1845872,1.16408413853496,0.774080157
23,38.723306,53.595203,23,6.8,5.9,7.8,363.3,446.8,2,0,0.07,0.37,0,2.3,12.5,2.8,0,3.2,0,чернозем оподзоленный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,"водораздельные участки слабопологие  и пологие склоны, террасы",3,1845872,1.26868636783281,0.762289047
24,38.737588,53.609367,24,6.5,5.3,7.1,16.3,150.6,1.8,0.01,0.07,0.27,0,1.1,10.6,2.7,0,4,0,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,976727,1.01150050510348,0.651738167
25,38.735865,53.613372,25,6.9,6.1,9.4,132.4,180.8,3.4,0,0.1,0.47,0,2.4,13.9,3.6,0,5.7,0,овражно-балочный комплекс,средне-тяжело-суглинистый,"лессовидные суглинки, делювиальные отложения",склоны и днища балок и оврагов,23,598650,1.63625462182668,0.686685562
26,38.739705,53.613381,26,6.6,5.8,6.8,74.8,150.7,1.6,0.01,0.07,0.23,0,1.7,13.5,3.4,0,2.3,39.2,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,87244,1.12340040885879,0.633577168
27,38.745079,53.613343,27,6.9,8.1,5.1,87.9,122.5,3.4,0,0.1,0.2,0,1.7,16.9,2.2,0,2.3,8.2,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,35162,1.27510085391463,0.694004536
28,38.735645,53.606353,28,6.1,5.3,5.9,41.8,76.4,2.2,0,0.08,0.19,0,1.4,10.4,2,0,2.6,0,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,976727,0.99558025139048,0.713562191
29,38.838352,53.612988,29,6.3,5.3,6.6,152.6,106.8,3.3,0,0.09,0.22,0,2.2,16,3.2,0,3.6,92.8,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,1742842,1.3946930240315,0.730690002
30,38.852459,53.618177,30,4.9,5.3,7.1,159.9,411.8,7.1,0.02,0.21,0.4,0,2,16,2.6,0,4.5,89.5,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,2547516,1.91694724084581,0.666366637
31,38.837454,53.604961,31,6.5,7,6.4,1.4,87.1,19.9,0.03,0.2,0.3,0,1.8,22.1,1.3,0,7.9,45.2,чернозем выщелоченный среднемощный малогумусный слабосмытый,среднесуглинистый,лессовидный карбонатный суглинок,пологие склоны,11,152848,1.98808711058736,0.431444228
32,38.834478,53.599162,32,6.6,7,5.7,120.1,166,4.1,0.02,0.17,0.18,0,2.6,19.9,2.1,0,5.9,80.5,аллювиальная луговая,среднесуглинистый,аллювиальные отложения,слабодренируемая пойма реки Дон,20,272857,1.54558122579249,0.618891776
33,38.835993,53.593502,33,6.1,6.5,6.8,533,527.4,4.2,0.01,0.14,0.56,0,2.6,15.4,3.3,0,5,84.6,чернозем оподзоленный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,"водораздельные участки слабопологие  и пологие склоны, террасы",3,201862,1.87540711920779,0.652021945
34,38.794744,53.611103,34,5.7,6.3,6.9,53.4,355.3,4.3,0.01,0.14,0.45,0,1.6,14.8,3.6,0,5.7,72.7,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,276812,1.68751976158432,0.521044016
35,38.805026,53.611024,35,6,6.5,7.5,171,176.1,4,0.01,0.17,0.37,0,2.8,18,4.3,0,9.5,52.9,аллювиальная,среднесуглинистый,аллювиальные отложения,пойма реки Дон,19,231904,1.94730930073874,0.734817326
36,38.803266,53.602422,36,5.8,6.3,7,173.7,277.4,4.2,0.02,0.15,0.28,0,2.7,19.5,4.5,0,3.8,160.3,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,405015,1.86288013540263,0.399457574
37,38.795141,53.599451,37,6.5,7.1,5.9,198.9,212.9,4.9,0.01,0.17,0.2,0,2.3,20.7,2.4,0,4.3,51.8,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,195997,1.63404521685991,0.535930157
38,38.785221,53.593986,38,5.8,6.3,5.7,94.6,148.7,3.8,0.01,0.17,0.21,0,1.8,18.1,3.2,0,4.4,36,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,2354982,1.55510175623878,0.376470596
39,38.77455,53.587282,39,5.5,5.9,6.6,332.3,168.9,5.4,0.01,0.17,0.27,0,2.1,19.3,3.5,0,5.7,236.4,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,2354982,1.80998586067423,0.456512332
40,38.764973,53.594233,40,5.9,7,6.4,119.1,125.9,2.9,0,0.06,0.16,0,1.6,16.3,3,0,2.9,36.7,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,105673,1.13854363253564,0.335468382
41,38.776348,53.600697,41,5.5,6.3,6,26.9,90.8,3.1,0,0.06,0.13,0,2.5,17.5,3.3,0,3.2,10.3,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,1114268,1.2316615456307,0.379641324
42,38.791332,53.608194,42,5.4,6.4,5.9,63.9,111.5,3,0,0.06,0.13,0,1.3,17.4,3.4,0,2.3,7.7,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,42534,1.10288753724744,0.494120866
43,38.807956,53.602638,43,4.8,5.4,7.3,92.2,201.4,10.4,0,0.07,0.26,0,2.1,15.9,3.1,0,7.4,312.1,чернозем оподзоленный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,"водораздельные участки слабопологие  и пологие склоны, террасы",3,259618,1.64190165275914,0.531145334
44,38.815912,53.600965,44,6.4,7.3,4.8,48.6,155.4,3.4,0,0.08,0.14,0,1.3,16.4,1.8,0,2.5,13.6,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,12575,1.06526937259134,0.5182482
45,38.82229,53.597399,45,6.1,7.2,6.5,132.7,147.1,5.2,0,0.09,0.24,0,1.4,16.6,2.6,0,3.6,45.1,чернозем оподзоленный мощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,выположенные шлейфы,6,285567,1.37597674608078,0.518584073
46,38.809389,53.599471,46,6,6.8,6.5,487.8,883.9,4.4,0,0.08,0.22,0,1.9,13.4,1.9,0,4.3,82.1,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,60126,1.2462243253386,0.640078366
47,38.80026,53.596816,47,6.9,8.1,5,66.8,107.6,6,0,0.08,0.11,0,1.3,18.7,1.5,0,2.4,14.6,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,11266,1.11536845290501,0.709419906
48,38.802603,53.593432,48,5.3,6.5,5.8,53.2,78.3,2.3,0,0.05,0.11,0,1.4,16.7,2.1,0,2.8,19.7,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,386494,0.923688892461305,0.569566548
49,38.808322,53.589831,49,4.7,5.7,5.1,777.4,131.4,3.5,0.01,0.06,0.18,0,1,14.4,3,0,2.1,40.2,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,78296,1.08516536604699,0.539534867
50,38.789155,53.610503,50,8.1,7,6.1,136.4,141.8,6.1,0.01,0.1,0.14,0.02,1.9,19,1.4,0,2.9,23.7,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,276812,1.27599464383894,0.424386382
51,38.786339,53.613695,51,6.6,5.6,6,94.5,116.2,4.2,0.01,0.08,0.16,0.07,2.1,16.4,2.6,0,57,27.2,чернозем выщелоченный среднемощный среднесмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,покатые склоны,14,78954,1.29941923668391,0.486468196
